Name                                                                                                                                            Stmts   Miss  Cover
virt/lib/python3.4/site-packages/django/contrib/sessions/__init__                                                                                   0      0   100%
virt/lib/python3.4/site-packages/django/contrib/sessions/backends/__init__                                                                          0      0   100%
virt/lib/python3.4/site-packages/django/contrib/sessions/backends/base                                                                            181     49    73%
virt/lib/python3.4/site-packages/django/contrib/sessions/backends/db                                                                               53     16    70%
virt/lib/python3.4/site-packages/django/contrib/sessions/exceptions                                                                                 5      0   100%
virt/lib/python3.4/site-packages/django/contrib/sessions/management/__init__                                                                        0      0   100%
virt/lib/python3.4/site-packages/django/contrib/sessions/middleware                                                                                29      4    86%
virt/lib/python3.4/site-packages/django/contrib/sessions/models                                                                                    23      7    70%
virt/lib/python3.4/site-packages/django/contrib/sessions/serializers                                                                               11      4    64%
virt/lib/python3.4/site-packages/django/contrib/sites/__init__                                                                                      0      0   100%
virt/lib/python3.4/site-packages/django/contrib/sites/models                                                                                       65     32    51%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/__init__                                                                                0      0   100%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/finders                                                                               151    113    25%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/handlers                                                                               41     25    39%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/management/__init__                                                                     0      0   100%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/models                                                                                  0      0   100%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/storage                                                                               183    144    21%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/templatetags/__init__                                                                   0      0   100%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/templatetags/staticfiles                                                               12      4    67%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/urls                                                                                    9      1    89%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/utils                                                                                  37     30    19%
virt/lib/python3.4/site-packages/django/contrib/staticfiles/views                                                                                  19     10    47%
virt/lib/python3.4/site-packages/django/core/__init__                                                                                               0      0   100%
virt/lib/python3.4/site-packages/django/core/cache/__init__                                                                                        58     29    50%
virt/lib/python3.4/site-packages/django/core/cache/backends/__init__                                                                                0      0   100%
virt/lib/python3.4/site-packages/django/core/cache/backends/base                                                                                  100     52    48%
virt/lib/python3.4/site-packages/django/core/cache/backends/db                                                                                    136    110    19%
virt/lib/python3.4/site-packages/django/core/cache/backends/locmem                                                                                118     92    22%
virt/lib/python3.4/site-packages/django/core/context_processors                                                                                    37      5    86%
virt/lib/python3.4/site-packages/django/core/exceptions                                                                                            76     40    47%
virt/lib/python3.4/site-packages/django/core/files/__init__                                                                                         1      0   100%
virt/lib/python3.4/site-packages/django/core/files/base                                                                                           106     64    40%
virt/lib/python3.4/site-packages/django/core/files/images                                                                                          43     34    21%
virt/lib/python3.4/site-packages/django/core/files/locks                                                                                           40     23    42%
virt/lib/python3.4/site-packages/django/core/files/move                                                                                            47     40    15%
virt/lib/python3.4/site-packages/django/core/files/storage                                                                                        146     85    42%
virt/lib/python3.4/site-packages/django/core/files/temp                                                                                            30     23    23%
virt/lib/python3.4/site-packages/django/core/files/uploadedfile                                                                                    60     32    47%
virt/lib/python3.4/site-packages/django/core/files/uploadhandler                                                                                   76     29    62%
virt/lib/python3.4/site-packages/django/core/files/utils                                                                                           19      1    95%
virt/lib/python3.4/site-packages/django/core/handlers/__init__                                                                                      0      0   100%
virt/lib/python3.4/site-packages/django/core/handlers/base                                                                                        159     67    58%
virt/lib/python3.4/site-packages/django/core/handlers/wsgi                                                                                        154     45    71%
virt/lib/python3.4/site-packages/django/core/mail/__init__                                                                                         29     19    34%
virt/lib/python3.4/site-packages/django/core/mail/message                                                                                         228    171    25%
virt/lib/python3.4/site-packages/django/core/mail/utils                                                                                             9      4    56%
virt/lib/python3.4/site-packages/django/core/management/__init__                                                                                  185     78    58%
virt/lib/python3.4/site-packages/django/core/management/base                                                                                      144     56    61%
virt/lib/python3.4/site-packages/django/core/management/color                                                                                      28      3    89%
virt/lib/python3.4/site-packages/django/core/management/commands/__init__                                                                           0      0   100%
virt/lib/python3.4/site-packages/django/core/management/commands/flush                                                                             51     35    31%
virt/lib/python3.4/site-packages/django/core/management/commands/loaddata                                                                         166     38    77%
virt/lib/python3.4/site-packages/django/core/management/commands/syncdb                                                                           100     22    78%
virt/lib/python3.4/site-packages/django/core/management/commands/test                                                                              46      6    87%
virt/lib/python3.4/site-packages/django/core/management/sql                                                                                       126     87    31%
virt/lib/python3.4/site-packages/django/core/management/validation                                                                                253    119    53%
virt/lib/python3.4/site-packages/django/core/paginator                                                                                             90     57    37%
virt/lib/python3.4/site-packages/django/core/serializers/__init__                                                                                  64     23    64%
virt/lib/python3.4/site-packages/django/core/serializers/base                                                                                      76     42    45%
